open,high,low,close,volume,ticker,date,ret_1d,ret_3d,ret_5d,sma5,sma10,sma20,ema12,ema26,macd,macd_signal,macd_hist,rsi14,bb_upper,bb_lower,bb_pct,vol5,vol20,vol_ratio,dist_sma5,dist_sma20,above_sma5,above_sma20,sma5_above_sma20,day_of_week,month,is_monday,is_friday,price_change_1d,label_1d,price_change_3d,label_3d,price_change_5d,label_5d,sentiment_score,sentiment_label,ticker_enc
218.11063203893852,219.64732360839844,217.1489612238199,219.64732360839844,37369800,AAPL,2024-07-03,0.005811073656752486,0.05189442185222126,0.038921577005221364,214.79732971191407,211.26195678710937,207.660652923584,211.73057350325288,206.43120471444794,5.299368788804941,4.508519767572471,0.7908490212324697,61.36731343178886,224.1816021335616,191.1397037136064,0.8627718520166047,0.016749712443580676,0.021564814885371642,0.42077917076784055,0.022579395670277513,0.05772239717085623,1,1,1,2,7,0,0,2.162,1,3.2182,1,2.7172,1,0.146,positive,0
219.7464397478406,224.5052198536283,219.7464397478406,224.3961639404297,60412400,AAPL,2024-07-05,0.021620296819540474,0.04424447034655765,0.05716950250583075,217.22430419921875,212.91364593505858,209.1710693359375,213.67912587820317,207.76194243489104,5.917183443312126,4.790252502720403,1.1269309405917234,64.78493036250464,226.02590929923915,192.31622937263583,0.9516534905312188,0.017587391865753685,0.02181891266249801,0.6778486112593912,0.03301591766008627,0.07278776483204788,1,1,1,4,7,0,1,0.6539,1,2.9336,1,1.8556,1,0.2522,positive,0
225.13972278278513,225.89320550199054,221.3327047505454,225.86346435546875,59085900,AAPL,2024-07-08,0.006538883683540053,0.0342760833645841,0.08166361580310788,220.63475952148437,214.92918395996094,210.82375259399413,215.55363949009018,209.10279591048936,6.450843579600814,5.1223707180964855,1.3284728615043289,68.8560875828946,227.40353987729608,194.24396531069218,0.9535556308273042,0.009957490162267742,0.021550977553715763,0.6563718701864296,0.02369846367510027,0.07133784299171547,1,1,1,0,7,1,0,0.3775,1,-0.1097,0,2.8882,1,-0.0186,neutral,0
225.97252074204383,227.42989753320916,224.4259205051531,226.71607971191406,48076100,AAPL,2024-07-09,0.0037749148977164193,0.032182300186449186,0.05504037333126943,223.0002685546875,216.96554412841797,212.39960098266602,217.27093798575538,210.40748359948378,6.863454386271599,5.470587451731509,1.3928669345400895,66.0862645823756,228.71552860882738,196.08367335650465,0.9387270848564541,0.0077309448018871825,0.021548016767125595,0.5355621268487332,0.01666281023475683,0.06740351047277353,1,1,1,1,7,0,0,1.8804,1,0.8134,1,2.685,1,0.0352,neutral,0
227.3307677065015,231.0783037422216,227.28119408246098,230.97915649414062,62627700,AAPL,2024-07-10,0.018803592527021573,0.02933647544642759,0.05770190853725299,225.52043762207032,219.33600921630858,214.37548599243163,219.37989467935313,211.93131122131024,7.44858345804289,5.866186652993785,1.5823968050491048,73.80896269419608,229.54614081437725,199.20483117048602,1.047229855781939,0.00824977876208863,0.0207115636337891,0.7112869991711948,0.024204985275960173,0.07745134862245942,1,1,1,2,7,0,0,-2.3221,0,0.6095,1,-1.7598,0,0.0953,neutral,0
229.40278596334778,230.39419780728426,223.83105624130303,225.6156005859375,64710600,AAPL,2024-07-11,-0.023220952009750606,-0.001097405329536394,0.027172090601840004,226.71409301757814,220.7557113647461,215.3877166748047,220.33923404959688,212.94496228535672,7.394271764240159,6.17180367524306,1.2224680889970987,72.33455564462638,230.72925712087306,200.04617622873633,0.8333395347831777,0.017789025900266188,0.015890491540738974,0.7828025523166978,-0.004845276343519877,0.04748592013060338,0,1,1,3,7,0,0,1.3051,1,3.1858,1,-1.4897,0,0.0655,neutral,0
226.9540218514806,230.64207551688347,226.71607753741577,228.5601043701172,53046500,AAPL,2024-07-12,0.013050975980972268,0.008133629782882235,0.018556201481202184,227.54688110351563,222.38559265136718,216.25371475219725,221.60398332967694,214.10163947682045,7.502343852856484,6.4379117107657455,1.0644321420907383,78.22677011249017,232.53598781095383,199.97144169344068,0.8779076045658035,0.01618889861054648,0.015024959899115838,0.7034327928721179,0.004452811050135296,0.05690718252873339,1,1,1,4,7,0,1,1.6743,1,-0.72,0,-2.7024,0,0.2106,positive,0
234.44910163171727,235.1926606193721,231.0882156126273,232.386962890625,62631300,AAPL,2024-07-15,0.01674333554866947,0.00609494994203108,0.02888248683235206,228.85158081054686,224.74317016601563,217.25305709838867,223.2629032621305,215.456107877843,7.806795384287483,6.711688445470093,1.0951069388173895,79.81379874328131,234.932910308121,199.57320388865634,0.9279986267922601,0.017231792396078433,0.015289896383837542,0.8503987748428941,0.015448362067487212,0.06966026620920024,1,1,1,0,7,1,0,0.1792,1,-4.3601,0,-4.4539,0,0.0805,neutral,0
232.98180687397965,234.24090427881208,230.33473879844306,232.80335998535156,43234300,AAPL,2024-07-16,0.001791826398293006,0.031858432576235884,0.026849795043971003,230.06903686523438,226.53465270996094,218.35996780395507,224.73066583493375,216.74108951543624,7.989576319497502,6.967266020275575,1.0223102992219264,79.57729123995017,237.0465690526585,199.67336655525165,0.8864638622155055,0.017313557555520918,0.015011186617179416,0.5979441783414156,0.01188479404866133,0.0661448722797205,1,1,1,1,7,0,0,-2.5296,0,-4.4758,0,-4.1777,0,0.0975,neutral,0
227.47949520376963,229.4722431354341,224.69362972259938,226.91439819335938,57345900,AAPL,2024-07-17,-0.025295862535500868,-0.007200321251572661,-0.017597944171574453,229.25608520507814,227.3882614135742,218.96522598266603,225.0666246593069,217.49466793602312,7.57195672328379,7.088204160877218,0.48375256240657194,67.25551512317527,237.94938496609052,199.98106699924153,0.7093632964442774,0.01984717620155913,0.016048067431399693,0.8135810068951487,-0.010214285084838794,0.036303354448265816,0,1,1,2,7,0,0,-2.0535,0,-2.1496,0,-4.5177,0,0.0752,neutral,0
228.3023336745397,228.46096321097224,220.36112971273346,222.2547149658203,66034600,AAPL,2024-07-18,-0.020534982639437538,-0.04360075883247172,-0.014896512525679806,228.5839080810547,227.6490005493164,219.4554786682129,224.63402316800128,217.84726401230438,6.786759155696899,7.027915159841155,-0.24115600414425575,60.25639058063727,238.23650542450324,200.67445191192255,0.5745229835769057,0.01920196433766129,0.01661404483866593,0.9461851856176975,-0.027688708135089175,0.01275537213559152,0,1,1,3,7,0,0,0.058,1,0.3702,1,-2.9842,0,0.0634,neutral,0
222.88922042587495,224.85221166233242,221.3624376981624,222.3835906982422,49151500,AAPL,2024-07-19,0.0005798560108913886,-0.044757813150828274,-0.027023586154270807,227.34860534667968,227.44774322509767,220.18069458007812,224.28780278803833,218.18328821126275,6.1045145767755855,6.8432350432280415,-0.738720466452456,64.94863241040292,238.18361607473346,202.17777308542279,0.5611816287222291,0.0173400205360941,0.015647498188633133,0.7234619194294084,-0.021838773283286386,0.01000494672053496,0,1,1,4,7,0,1,-0.156,0,-2.5723,0,-2.8309,0,0.1666,positive,0
225.06039989232605,225.8237912569016,221.17406723372827,222.03660583496094,48201800,AAPL,2024-07-22,-0.0015602988610435853,-0.02149617828235806,-0.044539318931310024,225.27853393554688,227.06505737304687,220.99712066650392,223.9414647952572,218.4687191463515,5.472745648905686,6.569137164363571,-1.096391515457885,59.010224728610005,237.66828415761856,204.32595717538928,0.5311761434191401,0.012866596245262173,0.015354324910286092,0.8273688901003344,-0.014390754609196216,0.004703614080228931,0,1,1,0,7,1,0,0.4688,1,-2.8889,0,-2.554,0,-0.0196,neutral,0
222.44310313331528,224.9910392063895,220.7676144514488,223.07760620117188,39960300,AAPL,2024-07-23,0.004688417760198904,0.003702469193862079,-0.04177668992746342,223.33338317871093,226.70121002197266,221.8333770751953,223.8085634730902,218.8101181874493,4.998445285640912,6.25499878861904,-1.2565535029781278,56.31325855429284,237.02362951833655,206.64312463205405,0.5409548534526633,0.013522675032789077,0.01535396729091286,0.7107742409593744,-0.001145269793071574,0.005608845442382708,0,1,1,1,7,0,0,-2.8754,0,-3.1332,0,-2.7599,0,0.042,neutral,0
222.07627816799848,222.86941075843336,215.26528287042115,216.6631622314453,61777600,AAPL,2024-07-24,-0.028754315948423814,-0.02572324895391709,-0.04517666593011316,221.28313598632812,225.2696105957031,222.30280990600585,222.7092709743756,218.6510844129305,4.058186561445126,5.8156363431842575,-1.7574497817391315,46.477876373946984,236.11657835255158,208.4890414594601,0.2958686039700249,0.014643401335095702,0.017010327530704483,1.0927860582110727,-0.020878110454690273,-0.025369214527450612,0,0,0,2,7,0,0,-0.4805,0,-0.1373,0,1.6198,1,-0.0628,neutral,0
217.04978217666016,218.9533061807155,212.77679965909306,215.62216186523438,51391200,AAPL,2024-07-25,-0.0048046947874734736,-0.028889128193998803,-0.029842125516238993,219.95662536621094,224.2702667236328,222.51298904418945,221.6189464960462,218.4267197797678,3.192226716278384,5.290954417803083,-2.098727701524699,38.65095915977154,235.74514299573718,209.28083509264172,0.2396180846887481,0.013194988976033687,0.016554692360590685,0.9211361668796636,-0.019705992005287488,-0.030968201939827477,0,0,0,3,7,0,0,0.2161,1,0.6023,1,0.4,1,0.021,neutral,0
216.82180047841348,217.60502442671483,214.15489978899527,216.08816528320312,41601300,AAPL,2024-07-26,0.0021612037182894284,-0.031331880581799254,-0.028308857660192532,218.69754028320312,223.0230728149414,222.7043327331543,220.76805707868573,218.25349352076302,2.5145635579227132,4.735676245827009,-2.221112687904296,37.019560803828675,235.41260460369585,209.99606086261275,0.23969051348643652,0.013408461130397394,0.016543063346342698,0.7511628667018282,-0.011931432775242836,-0.02970830144503165,0,0,0,4,7,0,1,0.1285,1,1.8902,1,0.8717,1,0.104,positive,0
215.09674706599597,217.41664743865044,213.8971319294418,216.36575317382812,36311800,AAPL,2024-07-29,0.001284604782780141,-0.0013726793911531532,-0.025540170008489183,217.56336975097656,221.42095184326172,223.08206100463866,220.09077955486148,218.11366090247154,1.9771186523899473,4.183964727139597,-2.2068460747496497,36.04284764846163,234.42764086638653,211.7364811428908,0.20401213896264206,0.013683147633131866,0.01603603920073864,0.68421190976576,-0.005504679296515914,-0.030106893403100125,0,0,0,0,7,1,0,0.2566,1,0.055,1,-4.1102,0,-0.0498,neutral,0
217.30760956688079,218.4378186982869,214.26396731336547,216.92095947265625,41643800,AAPL,2024-07-30,0.00256605442720903,0.006023488477189254,-0.027598676681887757,216.33204040527343,219.83271179199218,223.18368225097657,219.6031149268299,218.02531264841116,1.5778022784187442,3.662732237395427,-2.0849299589766828,28.936546127445467,234.25330997352245,212.1140545284307,0.2171213461053459,0.013332594960086413,0.014709716925246067,0.798798765389236,0.0027222923903437763,-0.028060845287415363,1,0,0,1,7,0,0,1.4991,1,0.4844,1,-5.2879,0,-0.005,neutral,0
219.5382417741392,221.8978068103832,218.73520059867647,220.17274475097656,50036300,AAPL,2024-07-31,0.014990645838122596,0.01890237469701428,0.016198335164065547,217.0339569091797,219.1585464477539,223.27340393066407,219.6907502843909,218.18438169304562,1.5063685913452787,3.231459508185398,-1.7250909168401192,41.29401950298959,234.20729406310124,212.3395137982269,0.35820878285363833,0.007215198635326988,0.014642188791224413,0.9672114463364303,0.014462197005929033,-0.013887275085618342,1,0,0,2,7,0,0,-1.6751,0,-5.7682,0,-5.5205,0,-0.0354,neutral,0
222.44309097566543,222.55214689360594,215.15622233135366,216.48471069335938,62501000,AAPL,2024-08-01,-0.0167506385124484,0.0005497982827054049,0.004000279102405635,217.2064666748047,218.5815460205078,223.11527328491212,219.19751342423223,218.0584801375133,1.1390332867189272,2.812974263892104,-1.6739409771731766,31.133861654088008,234.3571130868416,211.87343348298265,0.20509441921509078,0.011342324710688084,0.015075136176791614,1.179506840039446,-0.003322902823726261,-0.029718102637848992,0,0,0,3,8,0,0,0.6869,1,-5.0971,0,-2.3127,0,-0.0556,neutral,0
217.2679231335739,223.66254232334134,215.84030263063204,217.97183227539062,105568600,AAPL,2024-08-02,0.006869406976909742,0.004844496379183827,0.008717122428795632,217.58320007324218,218.14037017822267,222.79405670166017,219.0089470936412,218.05206177735607,0.9568853162851383,2.441756474370711,-1.4848711580855727,25.701903292181072,234.24694209133685,211.3411713119835,0.2894755660915964,0.011669087011569898,0.014269259082431282,1.9108509336405362,0.0017861314753051846,-0.021644313576671858,1,0,0,4,8,0,1,-4.8167,0,-4.5666,0,-1.6465,0,-0.0202,neutral,0
197.3802115476467,211.6664621054212,194.3167520967801,207.47279357910156,119548600,AAPL,2024-08-05,-0.04816695160420703,-0.05768175886728899,-0.04110151197348666,215.8046081542969,216.68398895263672,221.8745231628418,217.2341542452505,217.2684122811891,-0.034258035938592,1.9465535723088503,-1.9808116082474423,18.134227280963884,235.10494881978286,208.64409750590073,-0.044265542059125036,0.02525480117979939,0.017544158631509082,2.0516306493010816,-0.0386081402359963,-0.06490934325600907,0,0,0,0,8,1,0,-0.9748,0,1.9305,1,4.0674,1,-0.2339,negative,0
203.53688424769564,208.18660889381388,199.3432157724579,205.45030212402344,69660500,AAPL,2024-08-06,-0.009748224912713765,-0.05097084470305002,-0.05287943302721165,213.5104766845703,214.92125854492187,220.81123428344728,215.42125391890787,216.39299671399164,-0.9717427950837703,1.362894298830326,-2.3346370939140964,20.088433062584855,235.7155782397467,205.90689032714786,-0.015317286169986991,0.02454529240310969,0.01748561697745392,1.1737383077733403,-0.03775072158381515,-0.06956589962132803,0,0,0,1,8,0,0,1.2498,1,4.3478,1,6.8987,1,-0.0409,neutral,0
