ticker,date,datetime,headline,summary,link,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral,close,price_change_1d,label_1d,price_change_3d,label_3d,price_change_5d,label_5d,sent_roll3,sent_roll5,sent_momentum,sent_std5,pos_neg_ratio,price_mom1,price_mom5,volatility5,sma5,sma10,above_sma10,dist_sma10,day_of_week,month,is_monday,is_friday,ticker_enc,sentiment_enc
AAPL,2026-05-20,2026-05-20 18:59:01,KeyBanc Turns Cautious on Apple Stock as Valuation Concerns Grow. It’s Due for Profit-Taking.,"Apple's valuation looks ""stretched,"" according to KeyBanc's warning.",https://www.barchart.com/story/news/2045748/keybanc-turns-cautious-on-apple-stock-as-valuation-concerns-grow-its-due-for-profit-taking,Barchart.com,negative,-0.9624,0.0144,0.9624,0.0232,302.25,0.9065,1,2.0116,1,3.3945,1,-0.9624,-0.9624,0.0,0.0,-0.2,0.0,0.0,0.0,302.25,302.25,0.0,0.0,2,5,0,0,0,-1
AAPL,2026-05-21,2026-05-21 12:22:48,Nvidia's $80 billion stock buyback and bigger dividend may unleash an Apple-like stock move,Nvidia upping its cash payouts could ignite the stock.,https://finance.yahoo.com/markets/stocks/article/nvidias-80-billion-stock-buyback-and-bigger-dividend-may-unleash-an-apple-like-stock-move-122248827.html,Yahoo Entertainment,negative,-0.9371,0.0107,0.9371,0.0522,304.989990234375,1.2558,1,1.9214,1,2.3181,1,-0.9497500000000001,-0.9497500000000001,0.01265000000000005,0.017889801564019682,-0.4,0.009065310949131433,0.0,0.0,303.6199951171875,303.6199951171875,1.0,0.004512203211974646,3,5,0,0,0,-1
AAPL,2026-05-21,2026-05-21 11:03:00,Jim Cramer just said 4 words about this AI chip stock,"Wall Street has always had a language problem. Analysts write dense, 40-page reports full of ""EPS revisions"" and ""addressable market assumptions"" that most...",https://www.thestreet.com/investing/jim-cramer-just-said-4-words-about-this-ai-chip-stock,TheStreet,negative,-0.6481,0.019,0.6481,0.3329,304.989990234375,1.2558,1,1.9214,1,2.3181,1,-0.8492000000000001,-0.8492000000000001,0.20110000000000006,0.1746165227004593,-0.6,0.0,0.0,0.006410142845695494,304.07666015625,304.07666015625,1.0,0.003003617829976443,3,5,0,0,0,-1
AAPL,2026-05-22,2026-05-22 23:00:02,Microsoft vs. Apple Stock: The Numbers Reveal a Clear Winner Heading Into H2 2026,"Microsoft vs. Apple stock: Compare fundamentals, valuation, dividends, analyst ratings, and AI exposure to see which looks like the better buy.",https://www.barchart.com/story/news/2095554/microsoft-vs-apple-stock-the-numbers-reveal-a-clear-winner-heading-into-h2-2026,Barchart.com,neutral,0.0,0.0658,0.0223,0.9119,308.82000732421875,-0.1587,0,1.1949,1,-0.8128,0,-0.5284,-0.6369,0.5284,0.4478978082851787,-0.6,0.012557845216167651,0.0,0.0064817324675337795,305.2624969482422,305.2624969482422,1.0,0.011653938533365745,4,5,0,1,0,0
AAPL,2026-05-22,2026-05-22 20:32:00,‘Buffett Indicator’ warns of a market top — 8 crucial signs that stocks are running on fumes,"From a grotesque 230% valuation gap to a ticking energy crisis, this unstoppable market is more fragile than it looks.",https://www.marketwatch.com/story/buffett-indicator-warns-of-a-market-top-8-crucial-signs-that-stocks-are-running-on-fumes-12e4b4d8,MarketWatch,negative,-0.7873,0.0319,0.7873,0.1808,308.82000732421875,-0.1587,0,1.1949,1,-0.8128,0,-0.47846666666666665,-0.66698,-0.30883333333333335,0.3936792692027357,-0.8,0.0,0.0,0.006402840995486277,305.9739990234375,305.9739990234375,1.0,0.009301471072263388,4,5,0,1,0,-1
AAPL,2026-05-22,2026-05-22 14:30:46,"Apple Stock at 52-Week High: Buy, Sell or Hold?","Apple (NASDAQ:AAPL) at $304.99 is a hold, with the stock perched at a fresh all-time high after a 51.52% one-year run that has pushed the price past where...",https://247wallst.com/investing/2026/05/22/apple-stock-at-52-week-high-buy-sell-or-hold/,24/7 Wall St.,negative,-0.4501,0.4344,0.4501,0.1155,308.82000732421875,-0.1587,0,1.1949,1,-0.8128,0,-0.4124666666666667,-0.56452,-0.037633333333333296,0.3630451652342998,-0.8,0.0,0.02173699693703468,0.006049114864339341,307.2880004882812,306.4483337402344,1.0,0.007739228192360675,4,5,0,1,0,-1
AAPL,2026-05-22,2026-05-22 11:30:02,The Best AI Stock to Buy Now for Less Than $500,This semiconductor company remains deeply embedded in the AI supply chain.,https://www.barchart.com/story/news/2082392/the-best-ai-stock-to-buy-now-for-less-than-500,Barchart.com,neutral,0.0,0.0632,0.024,0.9128,308.82000732421875,-0.1587,0,1.1949,1,-0.8128,0,-0.4124666666666667,-0.3771,0.4124666666666667,0.36450063785952425,-0.6,0.0,0.012557845216167651,0.005616039110854282,308.05400390625,306.78714425223217,1.0,0.006626298103010526,4,5,0,1,0,0
AAPL,2026-05-26,2026-05-26 20:30:20,Bank of America ups Apple price target to $380,"In a notable vote of confidence for Apple amid ongoing questions about its AI pace, Bank of America analyst Wamsi Mohan has significantly…
The post Bank of America ups Apple price target to $380 appeared first on MacDailyNews.",https://macdailynews.com/2026/05/26/bank-of-america-ups-apple-price-target-to-380/,Macdailynews.com,positive,0.9298,0.9298,0.0314,0.0388,308.3299865722656,0.8173,1,1.2097,1,2.2281,1,0.15989999999999996,-0.06152000000000002,0.7699,0.6457622991472947,-0.2,-0.001586751960143129,0.010951167070512469,0.005834044069292018,308.7220031738281,306.9799995422363,1.0,0.0043976383870036355,1,5,0,0,0,1
AAPL,2026-05-26,2026-05-26 17:33:30,Tim Cook is Out. Will the CEO Change Make or Break Apple’s $4.5 Trillion Empire?,"The biggest company on earth is changing drivers. After ushering Apple (NASDAQ:AAPL) from roughly $400 billion to $4.535 trillion in market value, Tim Cook...",https://247wallst.com/investing/2026/05/26/tim-cook-is-out-will-the-ceo-change-make-or-break-apples-4-5-trillion-empire/,24/7 Wall St.,neutral,0.0,0.251,0.04,0.7089,308.3299865722656,0.8173,1,1.2097,1,2.2281,1,0.30993333333333334,-0.06152000000000002,-0.30993333333333334,0.6457622991472947,-0.2,0.0,-0.001586751960143129,0.0007096170492622125,308.6239990234375,307.1299981011285,1.0,0.003907102785648529,1,5,0,0,0,0
AAPL,2026-05-26,2026-05-26 16:00:00,5 High-Yield Stocks and ETFs to Buy and Hold for the Next Decade,"Five high-yield names spanning pharmaceuticals, consumer staples, energy, and ETFs offer income investors compelling yields and durable businesses for a ten-...",https://www.marketbeat.com/originals/5-high-yield-stocks-and-etfs-to-buy-and-hold-for-the-next-decade/?utm_source=yahoofinance&amp;utm_medium=yahoofinance,MarketBeat,neutral,0.0,0.3524,0.0105,0.6371,308.3299865722656,0.8173,1,1.2097,1,2.2281,1,0.30993333333333334,0.09593999999999998,-0.30993333333333334,0.5052463834605846,0.0,0.0,-0.001586751960143129,0.0007096170492622125,308.5259948730469,307.2499969482422,1.0,0.0035150191529712393,1,5,0,0,0,0
